Pays	2007–09	2010–12
lettonie	312	312
lituanie	247	307
estonie	266	253
rép.tchèque	198	217
pologne	228	214
slovaquie	159	197
hongrie	148	169
angleterreetpaysdegalles(uk)	151	154
ecosse(uk)(¹)	150	154
espagne	158	152
roumanie	132	150
malte	126	143
bulgarie	132	132
luxembourg	139	126
portugal	106	120
croatie	108	116
italie	98	113
grèce	105	112
france	99	106
autriche	101	104
belgique	93	101
irlandedunord(uk)	84	91
pays­bas	90	84
allemagne	89	84
irlande	76	80
chypre	84	78
danemark	66	72
suède	74	71
slovénie	66	65
finlande	63	60
